Date,Close,High,Low,Open,Volume
2010-08-23,1.342,1.3593,1.2667,1.2727,16321500
2010-08-24,1.28,1.314,1.2633,1.2833,10096500
2010-08-25,1.3267,1.332,1.2373,1.2773,7549500
2010-08-26,1.3167,1.3513,1.3067,1.326,6507000
2010-08-27,1.3133,1.3247,1.3,1.3167,5694000
2010-08-30,1.3247,1.346,1.3073,1.3133,10992000
2010-08-31,1.2987,1.3193,1.2887,1.3107,3016500
2010-09-01,1.3633,1.3793,1.3067,1.308,7423500
2010-09-02,1.404,1.416,1.354,1.358,7306500
2010-09-03,1.4033,1.42,1.3773,1.3913,6519000
2010-09-07,1.3693,1.4,1.3667,1.374,3651000
2010-09-08,1.3933,1.3967,1.3733,1.3773,4326000
2010-09-09,1.3807,1.4033,1.3793,1.4,5643000
2010-09-10,1.3447,1.3953,1.3173,1.3833,5799000
2010-09-13,1.3813,1.3933,1.3667,1.3927,5412000
2010-09-14,1.408,1.44,1.3687,1.3693,9820500
2010-09-15,1.4653,1.4667,1.386,1.3987,10269000
2010-09-16,1.396,1.544,1.3893,1.4767,40267500
2010-09-17,1.3487,1.4213,1.32,1.4013,17977500
2010-09-20,1.404,1.4233,1.344,1.378,14212500
2010-09-21,1.3847,1.4367,1.378,1.3927,11940000
2010-09-22,1.3247,1.3967,1.32,1.3913,14443500
2010-09-23,1.304,1.3427,1.3,1.326,10021500
2010-09-24,1.34,1.346,1.31,1.33,8683500
2010-09-27,1.3687,1.3873,1.3367,1.36,6279000
2010-09-28,1.4267,1.4327,1.384,1.4027,18217500
2010-09-29,1.4653,1.4687,1.4087,1.4127,29539500
2010-09-30,1.3607,1.4767,1.346,1.4667,32937000
2010-10-01,1.3733,1.3833,1.354,1.3793,8965500
2010-10-04,1.3993,1.4113,1.3533,1.362,9654000
2010-10-05,1.408,1.4187,1.4007,1.41,4980000
2010-10-06,1.364,1.4173,1.3547,1.404,4701000
2010-10-07,1.362,1.376,1.356,1.3713,2115000
2010-10-08,1.362,1.386,1.3593,1.362,4017000
2010-10-11,1.3493,1.38,1.338,1.3627,2568000
2010-10-12,1.3493,1.352,1.3353,1.3467,3660000
2010-10-13,1.3693,1.39,1.3573,1.376,4773000
2010-10-14,1.3833,1.402,1.36,1.4,4422000
2010-10-15,1.3693,1.3933,1.35,1.3927,4270500
2010-10-18,1.3487,1.376,1.348,1.368,2442000
2010-10-19,1.3367,1.3607,1.3333,1.3467,3678000
2010-10-20,1.3767,1.3793,1.336,1.344,4687500
2010-10-21,1.3833,1.3967,1.3633,1.374,6256500
2010-10-22,1.3813,1.3953,1.37,1.3787,2416500
2010-10-25,1.39,1.3987,1.382,1.396,1777500
2010-10-26,1.424,1.458,1.3673,1.3867,9913500
2010-10-27,1.4,1.4253,1.3767,1.4167,5347500
2010-10-28,1.4127,1.4333,1.3973,1.426,3363000
2010-10-29,1.456,1.4567,1.4033,1.4093,4209000
2010-11-01,1.4273,1.5167,1.4207,1.4627,6837000
2010-11-02,1.4167,1.4587,1.4033,1.4453,4837500
2010-11-03,1.4513,1.5,1.4107,1.4187,5589000
2010-11-04,1.66,1.6887,1.4767,1.5067,28110000
2010-11-05,1.6293,1.6647,1.5813,1.658,15165000
2010-11-08,1.6653,1.6667,1.602,1.6333,7642500
2010-11-09,1.642,1.7127,1.6033,1.6667,14346000
2010-11-10,1.9573,1.998,1.6033,1.632,45907500
2010-11-11,1.8693,1.94,1.822,1.9067,29179500
2010-11-12,1.9893,2.0333,1.8713,1.8833,40936500
2010-11-15,2.0533,2.196,2.0147,2.0147,39343500
2010-11-16,1.978,2.0933,1.8947,2.0667,20214000
2010-11-17,1.966,2.05,1.9073,2.0133,11250000
2010-11-18,1.9927,2.0493,1.928,2.0447,14341500
2010-11-19,2.066,2.0913,1.98,2.0107,17257500
2010-11-22,2.2267,2.23,2.1,2.1047,22945500
2010-11-23,2.3047,2.3787,2.146,2.2193,23667000
2010-11-24,2.3647,2.398,2.2887,2.3513,21375000
2010-11-26,2.3547,2.4,2.3167,2.3733,5259000
2010-11-29,2.2887,2.3967,2.222,2.3607,17184000
2010-11-30,2.3553,2.3553,2.2273,2.2493,33339000
2010-12-01,2.29,2.428,2.23,2.3913,19488000
2010-12-02,2.1567,2.2867,2.08,2.2673,30105000
2010-12-03,2.0993,2.15,2.058,2.134,17401500
2010-12-06,2.0207,2.0967,1.9707,2.09,19116000
2010-12-07,2.104,2.16,2.0033,2.0327,19669500
2010-12-08,2.158,2.166,2.1013,2.1653,9900000
2010-12-09,2.1367,2.1813,2.11,2.1673,6090000
2010-12-10,2.1013,2.1947,2.0753,2.1367,6441000
2010-12-13,2.0367,2.118,2.0267,2.1093,6156000
2010-12-14,1.902,2.026,1.8507,2.0193,26485500
2010-12-15,1.9733,1.998,1.902,1.9113,11143500
2010-12-16,2.054,2.0607,1.9767,2.0,11851500
2010-12-17,2.0907,2.1027,2.0473,2.0893,12195000
2010-12-20,2.1133,2.146,2.084,2.1093,7851000
2010-12-21,2.1507,2.1793,2.114,2.12,11665500
2010-12-22,2.1753,2.1907,2.1133,2.15,12499500
2010-12-23,2.006,2.1653,1.9947,2.084,23289000
2010-12-27,1.7033,1.9053,1.6707,1.868,139528500
2010-12-28,1.7607,1.7833,1.6667,1.7233,60844500
2010-12-29,1.8487,1.8673,1.7667,1.802,49788000
2010-12-30,1.7667,1.86,1.7587,1.8467,30616500
2010-12-31,1.7753,1.8167,1.7667,1.7713,21268500
2011-01-03,1.7747,1.8,1.7267,1.7893,19245000
2011-01-04,1.778,1.7967,1.7347,1.7773,17811000
2011-01-05,1.7887,1.7933,1.746,1.7653,21700500
2011-01-06,1.8587,1.8667,1.7873,1.7887,30918000
2011-01-07,1.8827,1.9053,1.86,1.8667,33718500
2011-01-10,1.8967,1.912,1.87,1.878,20140500
2011-01-11,1.7973,1.914,1.7947,1.906,25653000
2011-01-12,1.7973,1.8267,1.768,1.8007,14466000
2011-01-13,1.748,1.798,1.744,1.7973,10854000
2011-01-14,1.7167,1.772,1.7073,1.7433,17880000
2011-01-18,1.7093,1.7093,1.65,1.6987,24325500
2011-01-19,1.602,1.698,1.5833,1.6847,35572500
2011-01-20,1.508,1.63,1.4913,1.602,34198500
2011-01-21,1.536,1.5727,1.514,1.5413,18255000
2011-01-24,1.6327,1.654,1.5487,1.5687,24676500
2011-01-25,1.6453,1.6593,1.6013,1.6433,19072500
2011-01-26,1.65,1.6587,1.6067,1.6473,16198500
2011-01-27,1.6613,1.672,1.6353,1.6493,13435500
2011-01-28,1.6007,1.6587,1.5833,1.6587,15726000
2011-01-31,1.6067,1.608,1.5667,1.6033,12454500
2011-02-01,1.594,1.6487,1.5693,1.6207,10617000
2011-02-02,1.596,1.612,1.578,1.6107,8542500
2011-02-03,1.5753,1.5933,1.5433,1.588,7680000
2011-02-04,1.564,1.578,1.548,1.5627,8160000
2011-02-07,1.538,1.5507,1.5253,1.5507,13426500
2011-02-08,1.6327,1.6833,1.5333,1.5853,52573500
2011-02-09,1.5473,1.612,1.5193,1.6087,39534000
2011-02-10,1.548,1.576,1.5207,1.5507,12541500
2011-02-11,1.55,1.5833,1.5293,1.55,9517500
2011-02-14,1.5387,1.6093,1.5367,1.576,19246500
2011-02-15,1.5227,1.5447,1.504,1.534,14305500
2011-02-16,1.6487,1.6647,1.538,1.54,61726500
2011-02-17,1.5733,1.6993,1.57,1.642,39276000
2011-02-18,1.5453,1.566,1.5307,1.5553,35560500
2011-02-22,1.458,1.5333,1.452,1.5253,30969000
2011-02-23,1.4553,1.5,1.4073,1.4787,24084000
2011-02-24,1.502,1.5053,1.4333,1.452,15829500
2011-02-25,1.574,1.59,1.5127,1.5207,20194500
2011-02-28,1.5927,1.6067,1.5667,1.5827,15768000
2011-03-01,1.596,1.6213,1.58,1.6033,16596000
2011-03-02,1.6013,1.6187,1.582,1.588,9949500
2011-03-03,1.624,1.6527,1.604,1.632,9603000
2011-03-04,1.6633,1.666,1.5853,1.632,23701500
2011-03-07,1.6627,1.6933,1.6467,1.662,30504000
2011-03-08,1.644,1.664,1.6,1.64,20998500
2011-03-09,1.648,1.666,1.618,1.644,13872000
2011-03-10,1.6007,1.6327,1.582,1.6293,15255000
2011-03-11,1.6047,1.6167,1.5687,1.59,13962000
2011-03-14,1.55,1.6,1.5467,1.588,17490000
2011-03-15,1.53,1.5307,1.4533,1.48,19782000
2011-03-16,1.5213,1.55,1.5127,1.524,17545500
2011-03-17,1.5207,1.562,1.5093,1.5493,13839000
2011-03-18,1.5307,1.546,1.5007,1.546,10318500
2011-03-21,1.5153,1.5367,1.5027,1.5367,6175500
2011-03-22,1.4793,1.524,1.4667,1.5153,8743500
2011-03-23,1.4807,1.4847,1.4513,1.474,6342000
2011-03-24,1.4887,1.492,1.4653,1.476,6933000
2011-03-25,1.5167,1.5333,1.4933,1.4953,8520000
2011-03-28,1.55,1.5693,1.5033,1.5133,15871500
2011-03-29,1.5947,1.6,1.5473,1.5533,11331000
2011-03-30,1.5807,1.6327,1.534,1.6073,18349500
2011-03-31,1.85,1.914,1.7667,1.77,172767000
2011-04-01,1.7773,1.8787,1.7713,1.83,42972000
2011-04-04,1.722,1.8,1.682,1.7887,39139500
2011-04-05,1.78,1.8,1.7127,1.7267,47713500
2011-04-06,1.766,1.8007,1.72,1.7993,19324500
2011-04-07,1.816,1.8627,1.7633,1.79,42154500
2011-04-08,1.766,1.84,1.7573,1.8387,29196000
2011-04-11,1.6847,1.7687,1.668,1.7647,20541000
2011-04-12,1.6433,1.6807,1.62,1.672,20361000
2011-04-13,1.662,1.7127,1.654,1.6753,18172500
2011-04-14,1.676,1.6853,1.6133,1.658,14751000
2011-04-15,1.7053,1.7453,1.694,1.71,14152500
2011-04-18,1.6687,1.708,1.624,1.6753,15508500
2011-04-19,1.6773,1.684,1.6433,1.684,8230500
2011-04-20,1.7167,1.7393,1.6867,1.7133,12558000
2011-04-21,1.7827,1.7987,1.706,1.7233,20791500
2011-04-25,1.7593,1.782,1.7313,1.78,12013500
2011-04-26,1.7953,1.8167,1.754,1.7773,21000000
2011-04-27,1.8053,1.824,1.7753,1.7953,14953500
2011-04-28,1.844,1.846,1.7813,1.8047,24000000
2011-04-29,1.84,1.858,1.828,1.846,10890000
2011-05-02,1.83,1.8533,1.804,1.84,11769000
2011-05-03,1.7913,1.826,1.7667,1.8253,13708500
2011-05-04,1.7793,1.8,1.7167,1.7853,15667500
2011-05-05,1.7627,1.8293,1.7447,1.8133,18277500
2011-05-06,1.808,1.8467,1.7747,1.7933,14725500
2011-05-09,1.8607,1.8667,1.79,1.8,13746000
2011-05-10,1.8887,1.93,1.8607,1.8827,23029500
2011-05-11,1.8047,1.8867,1.7947,1.88,14437500
2011-05-12,1.8447,1.8493,1.7767,1.8047,9420000
2011-05-13,1.8367,1.8793,1.82,1.8667,9922500
2011-05-16,1.7733,1.866,1.77,1.866,11335500
2011-05-17,1.7307,1.8,1.7147,1.8,18513000
2011-05-18,1.7567,1.7647,1.7013,1.74,10942500
2011-05-19,1.88,1.896,1.7733,1.802,39826500
2011-05-20,1.8647,1.8853,1.8233,1.884,12637500
2011-05-23,1.788,1.8413,1.7747,1.8413,12954000
2011-05-24,1.7813,1.8333,1.7733,1.8013,9205500
2011-05-25,1.932,1.934,1.7447,1.7933,70396500
2011-05-26,1.9653,1.984,1.8733,1.9213,50053500
2011-05-27,1.97,1.978,1.9213,1.9693,25306500
2011-05-31,2.0093,2.0187,1.97,1.9793,49357500
2011-06-01,1.9013,2.0067,1.892,2.0,22948500
2011-06-02,1.9173,1.9547,1.9007,1.9013,14794500
2011-06-03,2.0087,2.1,1.9667,1.9967,93138000
2011-06-06,1.9133,2.0087,1.884,2.0067,34966500
2011-06-07,1.8913,1.9593,1.884,1.9293,18331500
2011-06-08,1.808,1.9067,1.8013,1.896,25438500
2011-06-09,1.8413,1.8733,1.8067,1.8287,24048000
2011-06-10,1.8573,1.8867,1.8233,1.8347,23499000
2011-06-13,1.8953,1.9253,1.8587,1.8713,25701000
2011-06-14,1.9067,1.98,1.9013,1.9027,23601000
2011-06-15,1.8213,1.8967,1.8047,1.896,20175000
2011-06-16,1.7667,1.8667,1.716,1.8447,27633000
2011-06-17,1.7667,1.8467,1.7427,1.7913,25710000
2011-06-20,1.734,1.764,1.7,1.7527,23067000
2011-06-21,1.8353,1.8487,1.7333,1.7493,22440000
2011-06-22,1.814,1.8833,1.8067,1.8247,22134000
2011-06-23,1.8473,1.848,1.7473,1.8133,17550000
2011-06-24,1.838,1.8647,1.8173,1.8427,54127500
2011-06-27,1.8307,1.8853,1.8207,1.8487,27141000
2011-06-28,1.874,1.8833,1.8447,1.8527,13338000
2011-06-29,1.886,1.9393,1.8713,1.9,21927000
2011-06-30,1.942,1.9553,1.8933,1.9,14200500
2011-07-01,1.9347,1.9733,1.92,1.938,12823500
2011-07-05,1.9427,1.968,1.914,1.9347,14940000
2011-07-06,1.9307,1.9427,1.9033,1.9427,13903500
2011-07-07,1.982,2.0,1.934,1.9427,19918500
2011-07-08,1.9207,1.9927,1.906,1.9927,18609000
2011-07-11,1.89,1.902,1.8667,1.8933,14637000
2011-07-12,1.878,1.9393,1.8667,1.8913,15681000
2011-07-13,1.9093,1.9353,1.86,1.8953,15990000
2011-07-14,1.8407,1.9307,1.8167,1.902,17385000
2011-07-15,1.8387,1.8553,1.8267,1.8527,10635000
2011-07-18,1.8153,1.83,1.7753,1.8227,12778500
2011-07-19,1.8593,1.874,1.836,1.8387,15391500
2011-07-20,1.9127,2.0293,1.8533,1.8667,45724500
2011-07-21,1.9133,1.944,1.8733,1.9273,15172500
2011-07-22,1.9527,1.9693,1.9033,1.9133,8752500
2011-07-25,1.8993,1.95,1.896,1.934,10099500
2011-07-26,1.8667,1.918,1.8647,1.8873,11409000
2011-07-27,1.8427,1.9,1.834,1.9,14377500
2011-07-28,1.878,1.9033,1.836,1.84,14080500
2011-07-29,1.878,1.8933,1.8333,1.8533,14223000
2011-08-01,1.918,1.932,1.8807,1.9113,17473500
2011-08-02,1.8227,1.9467,1.818,1.9127,23241000
2011-08-03,1.8133,1.8553,1.756,1.8333,26917500
2011-08-04,1.65,1.7927,1.6447,1.7673,45967500
2011-08-05,1.616,1.692,1.522,1.666,29466000
2011-08-08,1.576,1.6293,1.54,1.54,39127500
2011-08-09,1.6707,1.6967,1.58,1.61,20001000
2011-08-10,1.588,1.696,1.5753,1.696,23463000
2011-08-11,1.6867,1.7167,1.6,1.6027,12547500
2011-08-12,1.754,1.8093,1.6907,1.7067,15136500
2011-08-15,1.7487,1.7833,1.7287,1.7747,11079000
2011-08-16,1.74,1.7693,1.722,1.742,8065500
2011-08-17,1.722,1.7767,1.7007,1.7593,9655500
2011-08-18,1.6173,1.6767,1.5647,1.6667,15849000
2011-08-19,1.4867,1.6147,1.4667,1.5907,20629500
